post_type,post_title,data-periodo-inicial,data-periodo-final,descricao
autores,Marc Chagall,"""1887, Vitebsk""","""1985, Paris""",
autores,Marc Chagall,"""1887, Vitebsk""","""1985, Paris""",
autores,Marcelo Grassmann,"""1925, São Paulo - SP""","""2013, São Paulo - SP""",
autores,Marcelo Grassmann,"""1925, São Paulo - SP""","""2013, São Paulo - SP""",
autores,Marcelo Grassmann,"""1925, São Paulo - SP""","""2013, São Paulo - SP""",
autores,Marcelo Grassmann,"""1925, São Paulo - SP""","""2013, São Paulo - SP""",
autores,Marcelo Grassmann,"""1925, São Paulo - SP""","""2013, São Paulo - SP""",
autores,Marcelo Grassmann,"""1925, São Paulo - SP""","""2013, São Paulo - SP""",
autores,Marcelo Grassmann,"""1925, São Paulo - SP""","""2013, São Paulo - SP""",
autores,Tarsila do Amaral,"""1886, Capivari - SP""","""1973, São Paulo - SP""",
autores,Lasar Segall,"""1889, Vilna - Lituânia""","""1957, São Paulo - SP""",
autores,Emiliano Di Cavalcanti,"""1897, Rio de Janeiro - RJ""","""1976, Rio de Janeiro - RJ""",
autores,Lasar Segall,"""1889, Vilna - Lituânia""","""1957, São Paulo - SP""",
autores,Lasar Segall,"""1889, Vilna - Lituânia""","""1957, São Paulo - SP""",
autores,Lasar Segall,"""1889, Vilna - Lituânia""","""1957, São Paulo - SP""",
autores,Lasar Segall,"""1889, Vilna - Lituânia""","""1957, São Paulo - SP""",
autores,Marc Chagall,"""1887, Vitebsk""","""1985, Paris""",
autores,Marcelo Grassmann,"""1925, São Paulo - SP""","""2013, São Paulo - SP""",
autores,Lasar Segall,"""1889, Vilna - Lituânia""","""1957, São Paulo - SP""",
autores,Lasar Segall,"""1889, Vilna - Lituânia""","""1957, São Paulo - SP""",